id_disco;Nombre del disco;fecha de lanzamiento;id_grupo;Nombre del grupo;url del grupo;géneros;url portada
554907;The Cave;2014;270783;The Guana Batz;https://www.discogs.com/artist/270783-The-Guana-Batz;['Rock'];https://i.discogs.com/zLTFbOggz3wdk2AEXejuGT2unGZ8E6yf0cwU_ge6v8E/rs:fit/g:sm/q:90/h:600/w:598/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTk4NjIz/NS0xMzQ1ODIyNDY2/LTc0MDQuanBlZw.jpeg
825636;Lady In My Life;2009;15885;Michael Jackson;https://www.discogs.com/artist/15885-Michael-Jackson;['Electronic'];https://i.discogs.com/LBE8XwNqW8g6cixn630XW8QKVADR-uPM-1ZXfC2cc80/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTExMjU4/MjUtMTI1NDQxMDgz/My5qcGVn.jpeg
689686;In A Mirror Darkly;2014;450149;Mekong Delta;https://www.discogs.com/artist/450149-Mekong-Delta;['Rock'];https://i.discogs.com/sOLP1_GQXcGByoVluXesuRLnmw3jOdTEgqCiPPBie9w/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU2NjA4/OTYtMTYwMjMyMzQ0/Mi01NTA0LmpwZWc.jpeg
559727;Do You Want;2015;170994;Franz Ferdinand;https://www.discogs.com/artist/170994-Franz-Ferdinand;['Rock'];https://i.discogs.com/_WVe8eeY5kKxnvGasYCYRxgDh5yVoC1FbyFLDA4BwZM/rs:fit/g:sm/q:90/h:600/w:592/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTUyMzk1/NS0xMTMwNzA3MjE5/LmpwZWc.jpeg
321886;Two Timin' Lady;0;64791;Brass Construction;https://www.discogs.com/artist/64791-Brass-Construction;['Funk / Soul'];https://i.discogs.com/CLwZtTt-_XmA6W2FS_JFTK6lH8ne6QSyIEAss5j4cmg/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI3NDM2/MTctMTQ1OTkwNTk1/MC0xNjU2LmpwZWc.jpeg
951856;Legends Of Rock, Vol. 2, Rare Items;1974;135191;Bill Haley;https://www.discogs.com/artist/135191-Bill-Haley;['Rock'];https://i.discogs.com/DRL019mSQEkBrL6QwkVQtSQqLiLUt8-dlbqeB_GcdNo/rs:fit/g:sm/q:90/h:579/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTgwNTAx/NDItMTU1MTcwMjQ5/My04ODgzLmpwZWc.jpeg
821579;Thank You;2001;14212;BeBe Winans;https://www.discogs.com/artist/14212-BeBe-Winans;['Electronic'];https://i.discogs.com/J2xYVIxRZMJ9Toit2tUEv5tvuM0-Xj2bdFwDldFEtEE/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE0OTY2/LTE2MDAxODkyNTIt/OTk3Ni5qcGVn.jpeg
39074;Cruiser's Creek;1985;2228;The Fall;https://www.discogs.com/artist/2228-The-Fall;['Rock'];https://i.discogs.com/h6nfAOVKsN-s6jGmWZmIKM0wbgq2Za3DylX42qMuv3c/rs:fit/g:sm/q:90/h:500/w:508/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM3MjUx/Mi0xMjk5ODYwMTkw/LmpwZWc.jpeg
113797;Figures;2009;257622;Figures In Distortion;https://www.discogs.com/artist/257622-Figures-In-Distortion;['Electronic'];https://i.discogs.com/hj0_gOVfQ7exqoIUsCrCFWLykUntvCwn4M_RYeX5bkU/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM3NTEw/NS0xNDY4NDcyMDA3/LTY0MzguanBlZw.jpeg
590944;Back To Life;1989;4970;Soul II Soul;https://www.discogs.com/artist/4970-Soul-II-Soul;['Electronic', 'Funk / Soul', 'Pop'];https://i.discogs.com/IPDSnM-VMbM-APJI5PgJeXa8wOC0LRNeeO3jiU6O2-M/rs:fit/g:sm/q:90/h:600/w:581/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE0MjQw/Ni0xNDczNjM2NTI1/LTkwMTkuanBlZw.jpeg
528851;Let It Loose;1989;48245;Miami Sound Machine;https://www.discogs.com/artist/48245-Miami-Sound-Machine;['Rock', 'Pop'];https://i.discogs.com/bC_4CDvaNizd-Aj8XqZL6eZyKEUljs8TQKkgB411YDc/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMjgz/ODAtMTcyMzY3MDcy/My00MTI0LmpwZWc.jpeg
428021;Consuming The Rests;2010;2258748;Black Spirals;https://www.discogs.com/artist/2258748-Black-Spirals;['Rock'];https://i.discogs.com/nvRRsfvRcxHrCblt5bXIoF3-mDMIYBKUuPo2wSODr4A/rs:fit/g:sm/q:90/h:177/w:180/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI5MDEy/MDItMTMwNjM5OTQ2/OS5qcGVn.jpeg
311364;Nerorgasmo;1997;469133;Nerorgasmo;https://www.discogs.com/artist/469133-Nerorgasmo;['Rock'];https://i.discogs.com/M0vSr-1NdOROhCIdxfbAN31rUqfGYYdJMt723kEZ2xk/rs:fit/g:sm/q:90/h:595/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY0MTYy/Ni0xMzEwMzc5MDAx/LmpwZWc.jpeg
