id del disco;año de la edición;pais de la edición;formato
554907;1984;UK;Vinyl
554907;2010;UK & Europe;Vinyl
554907;2014;US;Vinyl
825636;2007;US;Vinyl
825636;2010;US;Vinyl
825636;1978;US;Vinyl
825636;2009;US;Vinyl
689686;2014;Germany;CD
689686;2014;Germany;Vinyl
689686;2018;US;CD
689686;2014;Russia;CD
559727;2005;Europe;Vinyl
559727;1992;US;Vinyl
559727;1990;Italy;Vinyl
559727;2015;US;Vinyl
321886;1973;US;Vinyl
321886;1973;US;Vinyl
321886;0;None;Vinyl
951856;1974;Germany;Vinyl
951856;1974;Germany;Vinyl
821579;1998;US;Vinyl
821579;1977;US;Vinyl
821579;2001;UK;Vinyl
39074;1985;UK;Vinyl
39074;1985;UK;Vinyl
113797;1993;Austria;Vinyl
113797;1983;Belgium;Cassette
113797;2009;US;Vinyl
590944;1989;UK;Vinyl
590944;1989;US;Vinyl
590944;1990;UK;Vinyl
590944;1989;Europe;Vinyl
528851;1987;US;Vinyl
528851;1989;Canada;Vinyl
428021;2010;France;Vinyl
428021;2010;France;Vinyl
311364;1985;Italy;Vinyl
311364;2011;Italy;CD
311364;2014;Italy;Vinyl
311364;1997;Italy;Vinyl
304673;1972;Germany;Vinyl
304673;0;France;Vinyl
304673;1972;France;Vinyl
50307;2015;UK;Vinyl
50307;1994;US;Vinyl
72966;1974;UK;Vinyl
72966;1974;US;Vinyl
72966;1974;US;Vinyl
72966;1974;Netherlands;Vinyl
185581;1982;Hungary;Vinyl
185581;1998;Hungary;CD
185581;1982;Hungary;Cassette
894258;1971;US;Vinyl
894258;1971;US;Vinyl
894258;1973;Australia;Vinyl
894258;1969;US;Vinyl
259143;1984;France;Vinyl
259143;1983;Europe;Vinyl
259143;1983;France;Vinyl
369115;2021;Spain;Vinyl
369115;2019;US;CD
347541;1961;US;Vinyl
347541;2018;Germany;Vinyl
347541;1961;US;Vinyl
347541;1970;US;Vinyl
775785;0;Germany;Vinyl
775785;1964;German Democratic Republic (GDR);Vinyl
775785;1953;Germany;Vinyl
775785;2006;Germany;CD
177137;2008;US;Vinyl
177137;2013;US;Vinyl
177137;1958;US;Vinyl
177137;2008;US;CD
949345;2000;US;CD
949345;2020;UK;CD
949345;1965;Philippines;Vinyl
494035;1994;Italy;Vinyl
494035;1978;US;Vinyl
565097;1999;US;Vinyl
565097;1999;US;CD
406402;2006;Europe;Vinyl
406402;2009;UK;Vinyl
406402;2006;UK & Europe;CD
629900;1962;US;Vinyl
629900;1962;US;Vinyl
629900;1962;US;Vinyl
425559;2012;USA, Canada & Europe;Vinyl
425559;2012;Europe;CD
50030;2007;US;Vinyl
50030;1991;Netherlands;Vinyl
380214;2000;US;Vinyl
380214;2018;US;Vinyl
380214;2000;US;Vinyl
914490;1980;USA & Canada;Vinyl
914490;0;USA & Canada;CDr
844917;1985;UK;Vinyl
844917;1985;Germany;Vinyl
597197;2000;UK;Vinyl
597197;2002;UK;Vinyl
597197;2002;UK;Vinyl
597197;2002;UK;Vinyl
525644;1955;US;Vinyl
525644;1955;US;Vinyl
525644;1956;UK;Vinyl
248341;2007;Scandinavia;Vinyl
248341;2007;Sweden;CD
248341;2007;Norway;CD
248341;2007;Australia;CD
274877;1999;UK;Vinyl
274877;1999;UK;CD
274877;1999;UK;CD
727965;1989;Europe;Vinyl
727965;1987;Spain;Vinyl
791661;2008;US;CDr
791661;2008;US;CDr
791661;0;US;Box Set
791661;2018;Europe;CD
631149;1963;US;Vinyl
631149;1968;Germany;Vinyl
732983;2001;US;Vinyl
732983;2001;US;CD
732983;1975;UK;Vinyl
732983;2017;Europe;CD
931684;0;Finland;Vinyl
931684;1969;Finland;Vinyl
409120;2004;US;Vinyl
409120;2002;US;CD
409120;2010;US;Vinyl
409120;2014;Netherlands;Vinyl
411306;1994;US;CD
411306;1994;Europe;CD
411306;1994;US;CD
411306;1994;US;CD
441909;2010;UK;Vinyl
441909;2006;Europe;CD
441909;1999;US;CD
441909;1970;US;Vinyl
995945;0;Jamaica;Vinyl
995945;1982;Germany;Vinyl
995945;2015;UK;Vinyl
738049;2014;US;Vinyl
738049;2014;US;Vinyl
738049;2014;US;Vinyl
313397;1993;Belgium;Vinyl
313397;1978;US;Vinyl
313397;1978;US;Vinyl
274329;2001;US;CD
274329;2001;US;CD
274329;2018;US;Vinyl
944361;2004;UK & Europe;CD
944361;2003;UK;CDr
944361;2004;UK;Vinyl
944361;2003;UK & Europe;CD
968461;2018;Australia;Vinyl
968461;1992;UK;Vinyl
968461;2020;US;Vinyl
968461;2020;US;Vinyl
243397;1961;US;Vinyl
243397;2006;US;Vinyl
243397;1961;US;Vinyl
16662;1992;UK;Vinyl
16662;1992;UK;CD
773229;1981;US;Vinyl
773229;1987;US;Vinyl
670064;1992;UK;Vinyl
670064;1992;Italy;Vinyl
670064;1980;US;Vinyl
691359;1980;USSR;Vinyl
691359;1980;USSR;Vinyl
691359;1980;USSR;Vinyl
691359;1980;USSR;Vinyl
120496;1985;Belgium;Vinyl
120496;1985;Belgium;Vinyl
415481;2012;Germany;Vinyl
415481;2012;Germany;File
415481;2022;US;File
415481;2016;UK;All Media
743455;1970;US;Vinyl
743455;2023;Worldwide;Vinyl
743455;2017;UK;Vinyl
743455;1999;UK;Vinyl
58010;2006;Netherlands;Vinyl
58010;2006;Netherlands;Vinyl
58010;2006;Netherlands;Vinyl
513883;2012;US;Vinyl
513883;2012;US;Vinyl
513883;2012;US;Vinyl
513883;2012;US;CD
927511;1970;US;Vinyl
927511;1970;US;Vinyl
927511;2002;US;CD
350467;1978;UK;Vinyl
350467;1995;Netherlands;Vinyl
350467;2006;US;Vinyl
350467;1990;Germany;Vinyl
328934;2012;US;Vinyl
328934;2012;US;CD
328934;2002;US;CD
647462;1970;Belgium;Vinyl
647462;1970;Germany;Vinyl
647462;1970;UK;Vinyl
344683;2008;Germany;CD
344683;2008;US;CD
211114;2002;US;CD
211114;2008;Europe;CD
562060;2005;UK;Vinyl
562060;2005;US;Vinyl
562060;2019;UK;Vinyl
289547;1961;US;Vinyl
289547;2023;Europe;Vinyl
289547;1961;Australia;Vinyl
289547;0;US;Vinyl
419473;1991;Jamaica;Vinyl
419473;1987;UK;Vinyl
419473;2001;UK;Vinyl
854931;1982;Finland;Vinyl
854931;1994;Finland;CD
669011;2001;US;CD
669011;1984;UK;Vinyl
669011;2018;France;File
357058;2003;Jamaica;Vinyl
357058;1991;UK;Vinyl
357058;1983;US;Vinyl
812496;1993;Europe;CD
812496;0;Europe;CD
55143;1981;Canada;Vinyl
55143;1982;UK;Vinyl
55143;1981;Germany;Vinyl
828372;2015;US;Vinyl
828372;2015;US;CD
828372;2022;US;Vinyl
828372;2004;US;CD
599855;1972;USSR;Flexi-disc
599855;1973;USSR;Vinyl
599855;1973;USSR;Vinyl
599855;1973;USSR;Vinyl
316346;2007;UK;CD
316346;2016;US;Vinyl
316346;2007;UK;CD
183884;1991;UK;Vinyl
183884;1991;UK;CD
183884;1991;UK;Vinyl
182297;1999;Germany;Vinyl
182297;1989;Germany;Vinyl
243969;1990;USSR;Vinyl
243969;1988;USSR;Vinyl
243969;1989;USSR;Vinyl
772575;1988;Finland;Vinyl
772575;1994;Finland;CD
772575;1988;Finland;Cassette
508052;1995;Italy;CD
508052;1995;Italy;Cassette
508052;1995;Bulgaria;Cassette
678907;1989;Norway;Cassette
678907;1999;Unknown;Vinyl
678907;2023;UK;Vinyl
678907;2022;Finland;Cassette
807113;1995;US;CD
807113;1995;Europe;CD
807113;0;US;CD
807113;1996;Japan;CD
371870;2011;Denmark;Vinyl
371870;2011;Denmark;CD
384918;1999;US;Vinyl
384918;1999;US;Vinyl
384918;2021;UK;Vinyl
384918;2002;Sweden;Vinyl
407575;2001;UK;Vinyl
407575;2015;USA & Canada;Lathe Cut
407575;1969;UK;Vinyl
407575;2014;Germany;Vinyl
433331;2008;Spain;Vinyl
433331;2008;Spain;CD
433331;2008;Spain;Vinyl
433331;2008;Spain;CD
237046;2010;UK;Vinyl
237046;2009;UK;Vinyl
770622;1974;US;Vinyl
770622;1996;UK;CD
955646;1977;Germany;Vinyl
955646;1972;Germany;Vinyl
955646;1973;UK;Vinyl
955646;1964;Germany;Vinyl
63439;1979;UK;Vinyl
63439;1981;UK;Vinyl
63439;1983;US;Vinyl
63439;2014;UK;Vinyl
121068;1992;US;Vinyl
121068;1992;UK;Vinyl
121068;1992;US;CD
277462;1999;UK;Vinyl
277462;2000;US;Vinyl
277462;1994;US;Vinyl
277462;1998;UK;Vinyl
413613;2015;UK & Europe;DVD
413613;2008;US;DVD
503113;2009;Jamaica;Vinyl
503113;0;Jamaica;Vinyl
503113;1967;Jamaica;Vinyl
503113;0;Jamaica;Vinyl
312145;2023;US;Vinyl
312145;1969;US;Vinyl
312145;1982;Poland;Vinyl
396961;1964;US;Vinyl
396961;1964;Canada;Vinyl
396961;1964;US;Vinyl
396961;1964;Canada;Vinyl
240636;1991;US;CD
240636;1991;New Zealand;CD
240636;1991;New Zealand;Cassette
554270;1969;US;Vinyl
554270;1969;US;Vinyl
554270;0;France;Vinyl
64212;1975;UK;Vinyl
64212;1975;US;Vinyl
64212;2004;Europe;CD
241995;1997;France;CD
241995;1997;France;CD
609761;1997;France;Vinyl
609761;1997;France;Vinyl
280847;2001;Netherlands;Vinyl
280847;2007;US;Vinyl
280847;2018;Netherlands;Vinyl
280847;2018;US;Vinyl
234217;1992;US;Vinyl
234217;1991;US;Vinyl
234217;1992;US;Vinyl
846939;1977;Hungary;Vinyl
846939;1977;Hungary;Vinyl
915745;2010;US;Vinyl
915745;2007;Germany;Vinyl
915745;2020;Finland;CD
915745;2012;New Zealand;Vinyl
297512;2016;US;Vinyl
297512;1991;US;CD
297512;1999;US;Vinyl
297512;1999;US;CD
761389;2013;US;Vinyl
761389;1975;Germany;Vinyl
761389;2018;US;Vinyl
761389;1984;US;Vinyl
74246;2007;France;CD
74246;2011;France;Vinyl
74246;2017;Europe;Vinyl
74246;1981;Belgium;Vinyl
351387;1993;Germany;CD
351387;1995;US;CD
102005;1983;US;Vinyl
102005;1983;Germany;Vinyl
102005;1983;Finland;Vinyl
102005;1993;Canada;CD
824032;1977;Italy;Vinyl
824032;2009;Italy;CD
824032;2012;Italy;CD
824032;1977;Japan;Vinyl
462561;2009;Czech Republic;CD
462561;2012;Czech Republic;CD
317034;1997;US;Vinyl
317034;1988;Belgium;Vinyl
317034;1998;Germany;CD
199455;1985;US;Vinyl
199455;1986;Netherlands;Vinyl
463547;2019;Europe;Vinyl
463547;2000;Europe;CD
463547;2000;UK;Vinyl
463547;2000;UK;CD
340916;2009;US;CD
340916;2009;US;CD
340916;2022;US;Vinyl
86285;1987;US;Vinyl
86285;1993;Spain;Vinyl
86285;1997;Belgium;Vinyl
384947;1997;UK;Vinyl
384947;1997;UK;Vinyl
349632;2004;UK;Vinyl
349632;2004;UK;Vinyl
349632;2002;UK;Vinyl
741393;2015;Europe;Vinyl
741393;1980;UK;Vinyl
741393;2020;Europe;Vinyl
216071;1962;US;Vinyl
216071;1962;US;Vinyl
216071;1962;US;Vinyl
216071;1962;Canada;Vinyl
990687;2019;Ukraine;Vinyl
990687;2019;Ukraine;Vinyl
990687;1993;Yugoslavia;Cassette
4712;1991;UK;Vinyl
4712;1991;UK;CD
4712;2003;Japan;Vinyl
440478;1999;Canada;CD
440478;1999;Canada;Cassette
440478;1999;France;CD
173910;2006;Switzerland;Vinyl
173910;2007;Switzerland;Vinyl
329592;1992;Germany;CD
329592;1992;Germany;Vinyl
88888;2005;UK;CD
88888;2005;UK;CD
88888;2005;UK;CD
787193;1958;US;Vinyl
787193;1974;UK;Vinyl
971671;2015;Canada;Vinyl
971671;2015;Canada;CD
719793;1989;UK;Vinyl
719793;2009;US;Vinyl
719793;1991;US;CD
428323;2017;Norway;Vinyl
428323;2012;US;Vinyl
428323;2012;US;Vinyl
428323;2022;US;Vinyl
411307;2012;Europe;CD
411307;2012;UK;File
411307;2008;Netherlands;CD
163526;1996;Europe;Vinyl
163526;1996;UK & Europe;CD
258537;1988;France;Vinyl
258537;1989;Germany;Vinyl
258537;1988;France;CD
258537;1989;France;Vinyl
315271;1983;Finland;Vinyl
315271;0;Finland;CD
